# number	slug	title	focus
21	rebuild-recovery-profile	Long-running rebuild, recovery, and compaction profiling	Profile rebuild, reindex, rescan, recovery, snapshot, index, and compaction workloads with CPU, I/O, memory, fsync, progress, and correctness evidence.
22	full-sync-ibd-profile	Full sync, IBD, import, and end-to-end profiling	Measure controlled sync/import/reindex phases while separating download, validation, scripts, crypto, chainstate, block I/O, compaction, logging, and network time.
23	perf-flamegraph-investigation	Perf and flamegraph investigation without forced commits	Capture perf, flamegraphs, scheduler, lock, CPU counter, memory, disk, network, and process data; leave measured hypotheses and raw artifacts even without a code change.
24	disk-io-amplification	Disk I/O, persistence growth, and write-amplification audit	Measure reads, writes, fsyncs, compactions, logs, temporary files, database growth, cache bypasses, repeated serialization, and crash-consistent storage placement.
25	performance-regression-bisect	Recent performance-regression bisect	Compare stable workloads across a justified commit range, bisect a proven regression, explain changed work or resource behavior, and preserve correctness intent.
26	cross-subsystem-bug-shapes	Bug fixed in one subsystem but present in another	Mine historical fixes for structural bug shapes and search analogous parsers, caches, indexes, queues, state machines, and APIs with reachability proof.
27	error-path-state	Error-path partial-state mutation audit	Enumerate all failure edges of status/result/exception APIs and compare complete pre/post object, cache, file, transaction, index, and retry state.
28	weak-test-oracles	Weak-test oracle and mutation-survival audit	Find no-op, success-only, log-only, duplicate-logic, sleep-based, and missing-negative tests; use targeted mutations and add the smallest behavior-sensitive oracle.
29	dead-stale-code	Dead code, stale feature, and TODO archaeology	Inventory unreachable code, dormant flags, obsolete compatibility, duplicated implementations, stale tests/docs, and TODOs; prove intentional debt versus safe removal.
30	security-logging	Security-sensitive and misleading logging audit	Trace secrets, private metadata, peer identifiers, wallet details, paths, configuration, raw payloads, severity, escaping, repetition, and diagnostic truthfulness into logs.
31	cross-layer-contracts	Cross-layer docs, examples, tests, and implementation audit	Build a contract table across source, public docs, examples, schemas, help, release notes, tests, and implementation; fix the smallest traceable mismatch.
32	history-incomplete-fixes	Whole-history incomplete-fix and migration mining	Mine historical partial fixes, follow-ups, reverted work, and migrations; locate omitted analogous sites, stale compatibility, and unresolved assumptions on current code.
33	external-vulnerability-variants	External vulnerability and advisory variant analysis	Use advisories and related-project fixes as seeds, map their preconditions to this tree, independently verify applicability, and produce report-ready evidence for remote-only defects.
34	uncovered-code-closure	Uncovered-code classification and closure audit	Classify uncovered code as legitimate platform/config, harness gap, dead code, or risky behavior; close only high-value gaps with semantic tests and measured coverage.
35	mutation-testing	Mutation-testing campaign	Run focused source or LLVM-level mutations across security, consensus, persistence, crypto, networking, and recent fixes; kill realistic defects with minimal tests.
36	sanitizer-analysis-matrix	Cross-tool sanitizer and static-analysis matrix	Run complementary sanitizer and analyzer combinations across modules and configurations, correlate reports, and separate root causes from instrumentation or suppression artifacts.
37	build-dead-zones	Build dead-zone and conditional-compilation audit	Find code, tests, generated files, and security paths hidden by feature flags, platform guards, compiler checks, or conditional source lists; execute or justify each zone.
38	failure-cleanup	Failure cleanup and crash-safety audit	Inject errors and abrupt exits through allocation, I/O, callbacks, locks, database, network, and parsing paths; prove cleanup, rollback, retry, and restart invariants.
39	deterministic-artifacts	Generated-artifact and test-vector determinism audit	Audit generated code, fixtures, vectors, ordering, timestamps, locale, randomness, tool versions, and regeneration rules for reproducibility and stale output.
40	multi-agent-adjudication	Independent multi-agent disagreement and adjudication audit	Have independent investigators analyze the same candidate or surface, compare evidence and assumptions, adjudicate disagreement, and retain dissent with a final verifier verdict.
41	history-seed-archaeology	History archaeology from a seed topic	Start from one bug shape, symbol, issue, or review topic and follow blame, merges, branches, reverts, tests, and later variants to generate evidence-backed current hypotheses.
42	ci-bot-followup	CI, coverage-bot, and review-bot follow-up audit	Mine CI failures, coverage comments, analyzer reports, review bots, and unresolved checks for real omissions, stale suppressions, and follow-up fixes.
43	option-api-lifecycle	Option and API lifecycle audit	Trace creation, defaulting, mutation, runtime observation, reload, persistence, restart, deprecation, and removal of options and APIs across all clients.
44	secret-copy-compiler	Secret-copy and compiler-optimization audit	Find avoidable secret copies and compiler transformations that retain or expose them; inspect optimized code, cleanse primitives, moves, buffers, and failure paths.
45	constant-time-boundary	Constant-time boundary and declassification audit	Define secret/public transitions around crypto and authentication APIs, then prove constant-time obligations, public-dependent exceptions, and declassification justifications.
46	public-output-failure	Public API output-on-failure audit	Exercise malformed and failing public calls to determine whether outputs are unchanged, zeroed, invalidated, or partially committed as documented and expected by callers.
47	build-ci-parity	Build-system and CI parity audit	Compare local build recipes, CI jobs, release builds, test matrices, generated manifests, cache keys, feature flags, and toolchain assumptions for missing coverage.
48	property-oracle-expansion	Property, exhaustive, and algebraic oracle expansion	Expand weak example tests into properties, exhaustive small domains, differential references, metamorphic relations, failure-state postconditions, and minimized counterexamples.
49	critical-history-must-fix	Critical whole-history must-fix sweep	Search all historical critical fixes and security-sensitive follow-ups for current variants, backports, reverts, and untested assumptions; verify only concrete reachable omissions.
50	fuzz-introspector	Fuzz Introspector blocker and complexity audit	Use static reachability, dynamic coverage, complexity ranking, call-depth and blocker data to explain why high-risk fuzz targets are ineffective and remove real blockers.
51	invariant-differential	Invariant, differential, and metamorphic audit	Define state and output invariants, compare alternative implementations and transformations, and use sequence-based metamorphic testing to find inconsistent behavior.
52	integer-overflow	Integer overflow, narrowing, signedness, and division audit	Trace widths and arithmetic around casts, shifts, division, sentinels, sizes, fees, amounts, counts, and serialization under 32- and 64-bit relevant domains.
53	statistical-timing	Statistical timing-side-channel campaign	Measure secret-class timing with controlled dudect-style experiments, compiler/backend variants, noise analysis, and dataflow review while treating passing statistics as limited evidence.
54	raai-resource-leaks	RAII, smart-pointer, and resource-leak audit	Audit ownership, moves, exception/error paths, custom deleters, file descriptors, locks, threads, mappings, database handles, and callbacks for leaks and lifetime errors.
55	alternative-implementation	Alternative-implementation compatibility-difference audit	Compare protocol, crypto, database, and wrapper behavior with related implementations, classify intentional policy differences, and prove local contract or compatibility defects.
56	stale-pr-critical-fix	Stale PR critical-fix resurrection audit	Mine abandoned or stale pull requests for reproducible security, correctness, testing, portability, or performance fixes, rebase intent carefully, and verify against current code.
57	local-reasoning-domain	Local-reasoning domain and relationship audit	Challenge functions whose local assumptions omit callers, domains, relationships, ownership, ordering, or state transitions; prove the smallest missing precondition or invariant.
58	exact-helper-reuse	Exact helper reuse and minimal helper-extension audit	Find duplicated near-equivalent helpers and determine whether exact reuse, a narrow extension, or intentional separation is required by contracts, performance, or constant-time rules.
59	cpp-supply-chain	C/C++ supply-chain and security-gate audit	Audit dependencies, vendored code, build downloads, compiler tools, hashes, signatures, license gates, generated inputs, and security checks for practical supply-chain weaknesses.
60	reviewer-preference-mining	Historical reviewer-preference mining and reusable review skill	Extract technically grounded reviewer patterns, rejected approaches, test expectations, and architecture rules from history; validate reusable review recipes on held-out changes.
61	stateful-contract-fuzzer	Stateful contract-fuzzer expansion	Build production-backed operation-sequence fuzzers for stateful APIs, with model invariants, failure-state checks, deterministic shrinking, and minimized replayable sequences.
62	rejected-finding-resurrection	Rejected-finding resurrection and assumption attack	Revisit dismissed findings and their assumptions, attack changed callers, configurations, versions, and input domains, and either confirm recurrence or preserve the dismissal rationale.
63	loupe-pipeline	Loupe-style scout, verifier, fixer, and reporter pipeline	Separate scouting, independent verification, fixing, and reporting with leases, regression PoCs, applicability checks, deduplication, and final review evidence.
64	finding-dedup-recurrence	Finding deduplication, recurrence, and semantic-fingerprint audit	Index findings by path, trust boundary, shape, source-to-sink relation, versions, hashes, and semantics; detect duplicates, recurrences, incomplete variants, and regressions.
65	contributor-branch-radar	Contributor-branch and work-in-progress radar	Inventory public contributor branches, PRs, bases, divergence, tests, review concerns, upcoming migrations, useful seeds, independent bugs, and conflict risks without copying unpublished work.
66	backport-correctness	Cherry-pick, backport, and release-branch correctness audit	Compare patch intent and behavior across maintenance branches, prerequisite chains, conflict resolutions, generated files, guards, tests, and upgrade/downgrade paths.
67	release-version-differential	Release-to-release behavioral and consensus differential	Feed identical deterministic vectors, blocks, transactions, scripts, wallets, databases, RPC cases, and transcripts to releases and current HEAD; classify expected drift.
68	architecture-abi-parity	Architecture, endianness, word-size, and ABI parity audit	Compare supported architectures, widths, alignment, endian conversions, atomics, filesystem and socket APIs, serialized outputs, assembly selection, and skipped tests.
69	backend-differential	SIMD, assembly, and portable-reference backend differential	Force optimized and reference backends for hashing, crypto, field/scalar/group math, checksums, memory, and codecs; compare outputs, errors, aliasing, and timing contracts.
70	compiler-optimization-differential	Compiler, optimization, LTO, PGO, and BOLT differential	Compare supported compilers and optimization/profile modes for correctness, UB, miscompiles, barriers, constant-time behavior, size, startup, cache, and reproducible performance.
71	deterministic-simulation	Deterministic simulation and failure-schedule exploration	Explore seeded task ordering, time, randomness, network, disk, retries, and shutdown schedules through production logic with explicit state, progress, durability, and resource invariants.
72	filesystem-crash-consistency	Filesystem, power-loss, and crash-consistency injection	Inject short writes, ENOSPC, EIO, drops, corruption, truncation, reorder assumptions, and process kills around durable boundaries; verify restart and idempotent recovery.
73	network-state-machine	Network fragmentation, reordering, and partial-I/O state-machine audit	Exercise fragmented and coalesced reads, short writes, EOF, reconnects, half-closes, stalls, backpressure, duplicate messages, and handshake state with deterministic socket shims.
74	memory-pressure-allocator	Memory pressure, OOM, allocator, and fragmentation audit	Measure heap, RSS, allocation lifetime, fragmentation, caches, arenas, and stack under normal and adversarial workloads; inject OOM and verify bounded graceful failure.
75	build-throughput-cacheability	Build throughput, dependency graph, and container-cache audit	Measure clean, incremental, no-op, parallel, and container builds for dependency fan-out, generated instability, header cost, serialized commands, and cache correctness.
76	reproducible-builds	Reproducible binaries, Guix, and toolchain-provenance audit	Rebuild artifacts in pinned clean environments and compare hashes and binary differences; trace timestamps, paths, ordering, dependencies, signing, and host contamination.
77	symbolic-model-checking	Symbolic execution and bounded-model-checking campaign	Apply CBMC or KLEE to bounded high-risk kernels with explicit production assumptions, memory/UB assertions, reference equivalence, postconditions, and replayable counterexamples.
78	translation-validation	Compiler-transformation validation and miscompile isolation	Compare LLVM IR and optimized results with Alive2, compiler versions, UB-free reducers, and deterministic vectors to isolate source UB, compiler bugs, assembly contracts, or test errors.
79	fuzz-corpus-stewardship	Fuzz-corpus stewardship, minimization, and transfer audit	Inventory corpora, coverage, size, runtime, provenance, and crashes; minimize and transfer structurally useful inputs across targets and engines without losing semantics.
80	fuzz-engine-differential	Fuzz-engine and property-framework differential	Compare libFuzzer, AFL++, Honggfuzz, and property-based fuzzing on shared targets, seeds, budgets, coverage, execution rate, crashes, memory, and corpus quality.
81	spec-vector-drift	Specification, test-vector, and formal-model drift audit	Map implementation and tests to authoritative BIPs, protocol documents, secp docs, formal models, and versioned vectors; resolve drift with traceable provenance.
82	secp-field-scalar-matrix	secp256k1 field and scalar representation matrix	Compare 5x52/10x26 fields, 4x64/8x32 scalars, VERIFY, exhaustive, inversion, compiler, and architecture paths with limb, carry, magnitude, aliasing, and boundary properties.
83	secp-group-ecmult	secp256k1 group, ecmult, and formula-parity audit	Compare affine/Jacobian formulas, infinity, wNAF, windows, generator/arbitrary multiplication, endomorphism, batch inversion, optimized paths, and exhaustive/reference results.
84	secp-nonce-session	secp256k1 nonce, signing, Schnorr, and MuSig state-machine audit	Model signing, nonce, tweak, ECDH, extrakeys, and MuSig transitions; test invalid order, reuse, duplicates, malformed values, callbacks, replay, and output-on-failure.
85	bitcoin-consensus-mutation	Bitcoin consensus mutation-score and kill-test audit	Mutate consensus checks, activation boundaries, flags, script limits, canonical forms, cache keys, amount/sequence/time arithmetic, and prove tests distinguish each non-equivalent mutant.
86	bitcoin-chainstate-symmetry	Bitcoin chainstate, reorg, prune, and index crash-symmetry audit	Model connect/disconnect, flush, reorg, restart, prune, snapshots, block/undo files, and indexes; inject crashes and assert durable-state and query symmetry.
87	bitcoin-mempool-accounting	Bitcoin mempool, package, and eviction-accounting audit	Model acceptance, replacement, ancestor/descendant graphs, fees, clusters, expiry, trimming, conflicts, reorg removal, and memory accounting under operation sequences.
88	bitcoin-wallet-recovery	Bitcoin wallet encryption, backup, descriptor, and keypool recovery audit	Trace wallet encryption, passphrase changes, master keys, descriptors, keypool, reservation, migration, backup, restore, rescan, signers, failures, and restart durability.
89	bitcoin-p2p-accounting	Bitcoin P2P transport, permission, and peer-accounting audit	Model peer lifecycle, v1/v2 transport, permissions, handshake, messages, quotas, discouragement, download state, queues, timeouts, and disconnect cleanup under partial I/O.
90	historical-knowledge-recipes	Whole-PR and commit knowledge-base recipe synthesis	Extract reusable technical recipes from commits and PRs: invariants, bug shapes, rejected designs, benchmarks, fixtures, platform caveats, migrations, and follow-ups.
91	compiler-binary-hardening	Compiler and binary-hardening configuration audit	Audit warnings, stack protection, FORTIFY, PIE, RELRO, CFI, SafeStack, control-flow protections, assertions, sanitizers, and final binaries for concrete security value.
92	abi-alignment-aliasing	ABI layout, alignment, aliasing, and object-lifetime audit	Test packed layouts, unions, casts, placement new, raw storage, over-alignment, strict aliasing, pointer provenance, lifetimes, and C/C++ ABI across compilers and hosts.
93	system-fault-injection	Allocation, syscall, clock, randomness, and callback fault injection	Fail allocations, opens, reads, writes, fsync, rename, sockets, threads, entropy, clocks, scheduler callbacks, databases, and user callbacks at deterministic operation counts.
94	bindings-ffi-parity	Bindings, FFI, and language-wrapper parity audit	Compare C/C++ APIs with maintained wrappers for widths, ownership, lifetimes, nullability, callbacks, exceptions, buffers, secrets, threads, flags, and malformed inputs.
95	database-semantics-differential	Database-engine and persistence-semantics differential	Compare LevelDB assumptions with upstream and alternative engines for ordering, snapshots, iterators, batches, WAL/MANIFEST, checksums, filters, compaction, and recovery.
96	todo-deferred-work	TODO, FIXME, stub, and deferred-work challenge audit	Turn deferred-work markers, disabled tests, expected failures, stubs, compatibility code, and placeholders into current falsifiable questions with history and ownership.
97	cpp-defect-taxonomy	C and C++ defect-taxonomy sweep	Cycle through null, arithmetic, lifetime, bounds, race, deadlock, aliasing, cleanup, recursion, format, and unchecked-result defects using tools plus real reachability proof.
98	float-sanitizer-fuzz-exclusions	Floating-point edge values, sanitizer resurrection, and fuzz-exclusion audit	Test exceptional floating values, revive suppressed sanitizer diagnostics, and challenge fuzzer exclusions while preserving legitimate preconditions and failure-state safety.
99	psbt-serialized-key-identity	PSBT serialized-key identity and round-trip preservation audit	Compare PSBT map key identity with in-memory equality and ordering for every keydata-bearing field; mutate one serialized byte at a time, test parse/merge/RPC/re-encode preservation, and distinguish exact duplicates from distinct valid records.
100	append-only-file-allocation	Append-only preallocation and physical/logical file-size audit	Audit preallocation, truncation, flush, rebuild, and recovery helpers when physical file size exceeds logical position; force unsupported-platform fallbacks, preserve existing bytes, test overflow and short writes, and compare Windows, macOS, POSIX, sparse, and crash-recovery semantics.
101	minisketch-runtime-dispatch	Minisketch runtime implementation dispatch and availability audit	Exercise compile-time CLMUL inclusion and runtime CPU-feature selection across supported and unsupported CPUs; verify implementation_supported/create consistency, safe generic fallback, CPUID and OS assumptions, disabled-field matrices, and diagnostics without executing unsupported instructions.
102	macos-preallocation-semantics	macOS preallocation and physical/logical file-size semantics audit	Audit the __APPLE__ F_PREALLOCATE and ftruncate path for existing-file shrinkage, fallback-result handling, off_t overflow, sparse and exFAT behavior, short writes, crashes, and restart/reindex preservation with platform tests or faithful models.
103	xonly-cpubkey-preconditions	X-only conversion precondition and invalid CPubKey boundary audit	Audit every XOnlyPubKey(CPubKey) caller for empty, short, syntactically valid, and off-curve inputs; prove safe preconditions across descriptors, signing, providers, wallet, fuzz, and serialization without changing raw script consensus semantics; add focused guards or contract tests only for confirmed failures.
104	integer-option-boundaries	Integer option narrowing and resource-boundary audit	Audit int64_t-to-int, size_t, chrono, and signed/unsigned conversions in startup and resource options; model representability, negative values, downstream arithmetic, and OS caps for -par, duration options, wallet fee sizes, and index heights with sanitizer and clean-startup evidence.
105	minisketch-api-size-arithmetic	Minisketch API size and count arithmetic audit	Audit Minisketch serialized-size multiplication, capacity/max-elements computations, decode return counts, and C/C++ output bounds for size_t overflow, allocation-feasible extremes, and cross-backend consistency with boundary models and sanitized API probes.
106	generated-source-boundaries	Generated-source escaping and provenance boundary audit	Audit generators that turn external or mutable text/data into C/C++, Rust, shell, manpage, build, or metadata artifacts for delimiter escaping, comment and literal closure, paths, command arguments, encoding, size limits, provenance, determinism, and fail-closed behavior with hostile fixtures and consumer compilation.
107	bip324-short-id-parity	BIP324 short-message ID and long-form interoperability audit	Extract authoritative BIP324 and extension ID tables, compare Core and alternate implementations in both directions, require supported messages to accept short and long forms, reject unassigned IDs consistently, test feature negotiation and version gating, and preserve deterministic wire fixtures for every discrepancy.
108	persisted-gcs-filter-validation	Persisted GCS filter payload validation and recovery audit	Audit block-filter index flat-file and database coupling, semantic validation skipped on local reads, malformed N/truncated/excess Golomb-Rice payloads, hash/position mismatches, startup and query recovery, and corruption classification; use coupled scratch fixtures, deterministic fault injection, bounded-work proofs, and independent restart/query oracles without duplicating network filter parsing.
109	kernel-c-abi-boundary-matrix	libbitcoinkernel C ABI nullability, callback, and width matrix	Compare the raw libbitcoinkernel C API with its C++ btck wrapper and header contracts for nullable arrays and output handles, borrowed lifetimes, callback ownership and reentrancy, status versus exception translation, length-delimited buffers, enum domains, and size_t or fixed-width conversions; use deterministic raw-C consumers, wrapper side-by-side tests, fault injection, and 32-bit or compile-time evidence to prove distinct mismatches.
110	extpubkey-identity-matrix	Extended public-key identity across descriptor and wallet containers	Audit CExtPubKey identity across descriptor extraction, gethdkeys, createwalletdescriptor, backup, migration, and PSBT. Compare cryptographic derivation equivalence with serialized metadata (version, depth, fingerprint, child, chain code, and public key), prove intentional deduplication, and test xpub/xprv and origin output under metadata collisions with explicit comparators and recurrence fixtures.
111	kernel-chainstate-config-parity	Kernel library and chainstate configuration parity audit	Audit the CMake relationship among BUILD_KERNEL_LIB, BUILD_UTIL_CHAINSTATE, BUILD_KERNEL_TEST, functional-test capability flags, install components, pkg-config/header exports, Windows presets, cross builds, reduced exports, and fuzz overrides. For every supported cell prove target membership, generated metadata, dependency closure, and truthful enablement; use configure-only matrices when compilation is too expensive, and fix only mismatches that can be reproduced with exact cache values and target or install evidence.
112	difference-formatter-input-bounds	Differential and varint formatter input-boundary audit	Audit custom DifferenceFormatter, CompactSize, varint, and related vector formatters at public P2P, RPC, file, and persisted-state boundaries. Compare declared counts with representable element domains, allocation timing, arithmetic overflow, partial output, retry or penalty behavior, valid maximum cardinality, and malformed-input accounting across every caller. Use count-only malformed fixtures, independent old/new probes, boundary round trips, sanitizer or allocation evidence, history and recurrence searches, and exact caller contracts; avoid repeating repaired GETBLOCKTXN unless a different formatter or failure mode is proven.
113	bip32-seed-contract-parity	BIP32 seed-length contract and caller parity audit	Audit CExtKey::SetSeed and every wallet, descriptor, fuzz, binding, and release-branch caller against the BIP32 128--512-bit seed contract. Exercise empty, 15, 16, 32, 64, and 65-byte inputs; compare valid-key creation, assertion or error translation, output state, entropy assumptions, zeroization, and wrapper behavior across current and maintained releases. Use source-matched old/new tests, caller/dataflow traces, 32-bit or binding evidence where available, and recurrence fixtures; do not repeat the repaired SetSeed production change without a distinct caller or failure-mode mismatch.
114	taproot-satisfaction-fee-boundaries	Taproot satisfaction and wallet fee-bound differential	Differentially audit tr() and rawtr() satisfaction-size bounds from descriptor parsing through wallet input/vsize/fee and PSBT or external signing. Enumerate keypath versus every scriptpath, leaf script and control-block compact-size prefixes, Merkle depths, Miniscript and multi_a stack counts, maximum-signature policy, multipath expansion, unknown tree metadata, and actual serialized witnesses. Compare descriptor formulas with independent signed-witness and full-transaction size oracles under boundary trees, nested braces, large scripts, duplicate leaves, and unavailable keys; reproduce historical workarounds, require no underestimation, and preserve unknown contracts rather than guessing.
